Bank_id,Year,Bank_name,Sector
1,2005,AB BANK LTD.,Foreign
1,2006,AB BANK LTD.,Foreign
1,2007,AB BANK LTD.,Foreign
1,2008,AB BANK LTD.,Foreign
1,2009,AB BANK LTD.,Foreign
1,2010,AB BANK LTD.,Foreign
1,2011,AB BANK LTD.,Foreign
1,2012,AB BANK LTD.,Foreign
1,2013,AB BANK LTD.,Foreign
1,2014,AB BANK LTD.,Foreign
1,2015,AB BANK LTD.,Foreign
1,2016,AB BANK LTD.,Foreign
1,2017,AB BANK LTD.,Foreign
1,2018,AB BANK LTD.,Foreign
1,2019,AB BANK LTD.,Foreign
1,2020,AB BANK LTD.,Foreign
2,2005,ABU DHABI COMMERCIAL BANK,Foreign
2,2006,ABU DHABI COMMERCIAL BANK,Foreign
2,2007,ABU DHABI COMMERCIAL BANK,Foreign
2,2008,ABU DHABI COMMERCIAL BANK,Foreign
2,2009,ABU DHABI COMMERCIAL BANK,Foreign
2,2010,ABU DHABI COMMERCIAL BANK,Foreign
2,2011,ABU DHABI COMMERCIAL BANK,Foreign
2,2012,ABU DHABI COMMERCIAL BANK,Foreign
2,2013,ABU DHABI COMMERCIAL BANK,Foreign
2,2014,ABU DHABI COMMERCIAL BANK,Foreign
2,2015,ABU DHABI COMMERCIAL BANK,Foreign
2,2016,ABU DHABI COMMERCIAL BANK,Foreign
2,2017,ABU DHABI COMMERCIAL BANK,Foreign
2,2018,ABU DHABI COMMERCIAL BANK,Foreign
2,2019,ABU DHABI COMMERCIAL BANK,Foreign
2,2020,ABU DHABI COMMERCIAL BANK,Foreign
3,2005,ALLAHABAD BANK,Public
3,2006,ALLAHABAD BANK,Public
3,2007,ALLAHABAD BANK,Public
3,2008,ALLAHABAD BANK,Public
3,2009,ALLAHABAD BANK,Public
3,2010,ALLAHABAD BANK,Public
3,2011,ALLAHABAD BANK,Public
3,2012,ALLAHABAD BANK,Public
3,2013,ALLAHABAD BANK,Public
3,2014,ALLAHABAD BANK,Public
3,2015,ALLAHABAD BANK,Public
3,2016,ALLAHABAD BANK,Public
3,2017,ALLAHABAD BANK,Public
3,2018,ALLAHABAD BANK,Public
3,2019,ALLAHABAD BANK,Public
3,2020,ALLAHABAD BANK,Public
4,2005,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2006,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2007,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2009,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2010,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2011,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2012,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2013,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2014,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2015,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2016,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2017,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2018,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2019,AMERICAN EXPRESS BANKING CORP.,Foreign
4,2020,AMERICAN EXPRESS BANKING CORP.,Foreign
5,2005,ANDHRA BANK,Public
5,2006,ANDHRA BANK,Public
5,2007,ANDHRA BANK,Public
5,2008,ANDHRA BANK,Public
5,2009,ANDHRA BANK,Public
5,2010,ANDHRA BANK,Public
5,2011,ANDHRA BANK,Public
5,2012,ANDHRA BANK,Public
5,2013,ANDHRA BANK,Public
5,2014,ANDHRA BANK,Public
5,2015,ANDHRA BANK,Public
5,2016,ANDHRA BANK,Public
5,2017,ANDHRA BANK,Public
5,2018,ANDHRA BANK,Public
5,2019,ANDHRA BANK,Public
5,2020,ANDHRA BANK,Public
6,2012,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,Foreign
6,2013,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,Foreign
6,2014,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,Foreign
6,2015,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,Foreign
6,2016,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,Foreign
6,2017,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,Foreign
6,2018,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,Foreign
6,2019,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,Foreign
6,2020,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,Foreign
7,2005,AXIS BANK,Private
7,2006,AXIS BANK,Private
7,2007,AXIS BANK,Private
7,2008,AXIS BANK,Private
7,2009,AXIS BANK,Private
7,2010,AXIS BANK,Private
7,2011,AXIS BANK,Private
7,2012,AXIS BANK,Private
7,2013,AXIS BANK,Private
7,2014,AXIS BANK,Private
7,2015,AXIS BANK,Private
7,2016,AXIS BANK,Private
7,2017,AXIS BANK,Private
7,2018,AXIS BANK,Private
7,2019,AXIS BANK,Private
7,2020,AXIS BANK,Private
8,2016,BANDHAN BANK LTD.,Private
8,2017,BANDHAN BANK LTD.,Private
8,2018,BANDHAN BANK LTD.,Private
8,2019,BANDHAN BANK LTD.,Private
8,2020,BANDHAN BANK LTD.,Private
9,2005,BANK OF AMERICA N.A.,Foreign
9,2006,BANK OF AMERICA N.A.,Foreign
9,2007,BANK OF AMERICA N.A.,Foreign
9,2008,BANK OF AMERICA N.A.,Foreign
9,2009,BANK OF AMERICA N.A.,Foreign
9,2010,BANK OF AMERICA N.A.,Foreign
9,2011,BANK OF AMERICA N.A.,Foreign
9,2012,BANK OF AMERICA N.A.,Foreign
9,2013,BANK OF AMERICA N.A.,Foreign
9,2014,BANK OF AMERICA N.A.,Foreign
9,2015,BANK OF AMERICA N.A.,Foreign
9,2016,BANK OF AMERICA N.A.,Foreign
9,2017,BANK OF AMERICA N.A.,Foreign
9,2018,BANK OF AMERICA N.A.,Foreign
9,2019,BANK OF AMERICA N.A.,Foreign
9,2020,BANK OF AMERICA N.A.,Foreign
10,2005,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2006,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2007,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2008,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2009,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2010,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2011,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2012,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2013,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2014,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2015,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2016,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2017,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2018,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2019,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
10,2020,BANK OF BAHRAIN & KUWAIT B.S.C.,Foreign
11,2005,BANK OF BARODA,Public
11,2006,BANK OF BARODA,Public
11,2007,BANK OF BARODA,Public
11,2008,BANK OF BARODA,Public
11,2009,BANK OF BARODA,Public
11,2010,BANK OF BARODA,Public
11,2011,BANK OF BARODA,Public
11,2012,BANK OF BARODA,Public
11,2013,BANK OF BARODA,Public
11,2014,BANK OF BARODA,Public
11,2015,BANK OF BARODA,Public
11,2016,BANK OF BARODA,Public
11,2017,BANK OF BARODA,Public
11,2018,BANK OF BARODA,Public
11,2019,BANK OF BARODA,Public
11,2020,BANK OF BARODA,Public
12,2005,BANK OF CEYLON,Foreign
12,2006,BANK OF CEYLON,Foreign
12,2007,BANK OF CEYLON,Foreign
12,2008,BANK OF CEYLON,Foreign
12,2009,BANK OF CEYLON,Foreign
12,2010,BANK OF CEYLON,Foreign
12,2011,BANK OF CEYLON,Foreign
12,2012,BANK OF CEYLON,Foreign
12,2013,BANK OF CEYLON,Foreign
12,2014,BANK OF CEYLON,Foreign
12,2015,BANK OF CEYLON,Foreign
12,2016,BANK OF CEYLON,Foreign
12,2017,BANK OF CEYLON,Foreign
12,2018,BANK OF CEYLON,Foreign
12,2019,BANK OF CEYLON,Foreign
12,2020,BANK OF CEYLON,Foreign
13,2020,BANK OF CHINA LTD.,Foreign
14,2005,BANK OF INDIA,Public
14,2006,BANK OF INDIA,Public
14,2007,BANK OF INDIA,Public
14,2008,BANK OF INDIA,Public
14,2009,BANK OF INDIA,Public
14,2010,BANK OF INDIA,Public
14,2011,BANK OF INDIA,Public
14,2012,BANK OF INDIA,Public
14,2013,BANK OF INDIA,Public
14,2014,BANK OF INDIA,Public
14,2015,BANK OF INDIA,Public
14,2016,BANK OF INDIA,Public
14,2017,BANK OF INDIA,Public
14,2018,BANK OF INDIA,Public
14,2019,BANK OF INDIA,Public
14,2020,BANK OF INDIA,Public
15,2005,BANK OF MAHARASHTRA,Public
15,2006,BANK OF MAHARASHTRA,Public
15,2007,BANK OF MAHARASHTRA,Public
15,2008,BANK OF MAHARASHTRA,Public
15,2009,BANK OF MAHARASHTRA,Public
15,2010,BANK OF MAHARASHTRA,Public
15,2011,BANK OF MAHARASHTRA,Public
15,2012,BANK OF MAHARASHTRA,Public
15,2013,BANK OF MAHARASHTRA,Public
15,2014,BANK OF MAHARASHTRA,Public
15,2015,BANK OF MAHARASHTRA,Public
15,2016,BANK OF MAHARASHTRA,Public
15,2017,BANK OF MAHARASHTRA,Public
15,2018,BANK OF MAHARASHTRA,Public
15,2019,BANK OF MAHARASHTRA,Public
15,2020,BANK OF MAHARASHTRA,Public
16,2005,BANK OF NOVA SCOTIA,Foreign
16,2006,BANK OF NOVA SCOTIA,Foreign
16,2007,BANK OF NOVA SCOTIA,Foreign
16,2008,BANK OF NOVA SCOTIA,Foreign
16,2009,BANK OF NOVA SCOTIA,Foreign
16,2010,BANK OF NOVA SCOTIA,Foreign
16,2011,BANK OF NOVA SCOTIA,Foreign
16,2012,BANK OF NOVA SCOTIA,Foreign
16,2013,BANK OF NOVA SCOTIA,Foreign
16,2014,BANK OF NOVA SCOTIA,Foreign
16,2015,BANK OF NOVA SCOTIA,Foreign
16,2016,BANK OF NOVA SCOTIA,Foreign
16,2017,BANK OF NOVA SCOTIA,Foreign
16,2018,BANK OF NOVA SCOTIA,Foreign
16,2019,BANK OF NOVA SCOTIA,Foreign
16,2020,BANK OF NOVA SCOTIA,Foreign
17,2005,BANK OF PUNJAB,Private
18,2005,BANK OF RAJASTHAN LTD,Private
18,2006,BANK OF RAJASTHAN LTD,Private
18,2007,BANK OF RAJASTHAN LTD,Private
18,2008,BANK OF RAJASTHAN LTD,Private
18,2009,BANK OF RAJASTHAN LTD,Private
18,2010,BANK OF RAJASTHAN LTD,Private
19,2012,BANK OF TOKYO-MITSUBISHI UFJ LTD,Foreign
20,2005,BARCLAYS BANK PLC,Foreign
20,2006,BARCLAYS BANK PLC,Foreign
20,2007,BARCLAYS BANK PLC,Foreign
20,2008,BARCLAYS BANK PLC,Foreign
20,2009,BARCLAYS BANK PLC,Foreign
20,2010,BARCLAYS BANK PLC,Foreign
20,2011,BARCLAYS BANK PLC,Foreign
20,2012,BARCLAYS BANK PLC,Foreign
20,2013,BARCLAYS BANK PLC,Foreign
20,2014,BARCLAYS BANK PLC,Foreign
20,2015,BARCLAYS BANK PLC,Foreign
20,2016,BARCLAYS BANK PLC,Foreign
20,2017,BARCLAYS BANK PLC,Foreign
20,2018,BARCLAYS BANK PLC,Foreign
20,2019,BARCLAYS BANK PLC,Foreign
20,2020,BARCLAYS BANK PLC,Foreign
21,2005,BHARAT OVERSEAS BANK,Private
21,2006,BHARAT OVERSEAS BANK,Private
22,2014,BHARATIYA MAHILA BANK LTD.,Public
22,2015,BHARATIYA MAHILA BANK LTD.,Public
22,2016,BHARATIYA MAHILA BANK LTD.,Public
22,2017,BHARATIYA MAHILA BANK LTD.,Public
23,2005,BNP PARIBAS,Foreign
23,2006,BNP PARIBAS,Foreign
23,2007,BNP PARIBAS,Foreign
23,2008,BNP PARIBAS,Foreign
23,2009,BNP PARIBAS,Foreign
23,2010,BNP PARIBAS,Foreign
23,2011,BNP PARIBAS,Foreign
23,2012,BNP PARIBAS,Foreign
23,2013,BNP PARIBAS,Foreign
23,2014,BNP PARIBAS,Foreign
23,2015,BNP PARIBAS,Foreign
23,2016,BNP PARIBAS,Foreign
23,2017,BNP PARIBAS,Foreign
23,2018,BNP PARIBAS,Foreign
23,2019,BNP PARIBAS,Foreign
23,2020,BNP PARIBAS,Foreign
24,2005,CANARA BANK,Public
24,2006,CANARA BANK,Public
24,2007,CANARA BANK,Public
24,2008,CANARA BANK,Public
24,2009,CANARA BANK,Public
24,2010,CANARA BANK,Public
24,2011,CANARA BANK,Public
24,2012,CANARA BANK,Public
24,2013,CANARA BANK,Public
24,2014,CANARA BANK,Public
24,2015,CANARA BANK,Public
24,2016,CANARA BANK,Public
24,2017,CANARA BANK,Public
24,2018,CANARA BANK,Public
24,2019,CANARA BANK,Public
24,2020,CANARA BANK,Public
25,2005,CATHOLIC SYRIAN BANK LTD,Private
25,2006,CATHOLIC SYRIAN BANK LTD,Private
25,2007,CATHOLIC SYRIAN BANK LTD,Private
25,2008,CATHOLIC SYRIAN BANK LTD,Private
25,2009,CATHOLIC SYRIAN BANK LTD,Private
25,2010,CATHOLIC SYRIAN BANK LTD,Private
25,2011,CATHOLIC SYRIAN BANK LTD,Private
25,2012,CATHOLIC SYRIAN BANK LTD,Private
25,2013,CATHOLIC SYRIAN BANK LTD,Private
25,2014,CATHOLIC SYRIAN BANK LTD,Private
25,2015,CATHOLIC SYRIAN BANK LTD,Private
25,2016,CATHOLIC SYRIAN BANK LTD,Private
25,2017,CATHOLIC SYRIAN BANK LTD,Private
25,2018,CATHOLIC SYRIAN BANK LTD,Private
25,2019,CATHOLIC SYRIAN BANK LTD,Private
25,2020,CATHOLIC SYRIAN BANK LTD,Private
26,2005,CENTRAL BANK OF INDIA,Public
26,2006,CENTRAL BANK OF INDIA,Public
26,2007,CENTRAL BANK OF INDIA,Public
26,2008,CENTRAL BANK OF INDIA,Public
26,2009,CENTRAL BANK OF INDIA,Public
26,2010,CENTRAL BANK OF INDIA,Public
26,2011,CENTRAL BANK OF INDIA,Public
26,2012,CENTRAL BANK OF INDIA,Public
26,2013,CENTRAL BANK OF INDIA,Public
26,2014,CENTRAL BANK OF INDIA,Public
26,2015,CENTRAL BANK OF INDIA,Public
