Bank_id,Year,Net_interest_income,roa,dep_ratio,prov_npa,total_staff,inflation,roa_risk,nii_opinc,loanratio,equityratio,log_ta,tagr,gdp_grth,gfce,roa_risk_5yr,govt_exp,repo,hhi_nii,diverse
1,2005,3.68,2.87,34.2,0.01,26,3.77,2.215158,79.82646,31.86203,65.40485,4.225665,,7.92343,10.3661,1.3432,13.69,6,0.639813,-10577.95
1,2006,4.05,3.43,31.41,,26,4.25,2.647385,73.50272,50.45939,67.91642,4.211831,-1.3834,8.06073,9.80247,1.605288,13.58,6.5,0.607042,-10033.55
1,2007,4.85,3.42,34.53,,27,5.8,2.639666,93.09021,46.53313,64.57487,4.268158,5.6327,7.66082,9.86212,1.600608,14.29,7,0.581652,-16191.43
1,2008,4.45,3.84,39.11,0.27,26,6.37,2.963836,75.2961,32.94013,59.71589,4.367421,9.9263,3.0867,10.5385,1.797174,15.7,7,0.708587,-11338.01
1,2009,7.6,4.75,38.31,0.53,27,8.35,3.666203,95,35.29485,60.30101,4.39519,2.7769,7.86189,11.4597,2.223067,15.82,5,0.723537,-12258.77
1,2010,12.46,5.58,38.28,,28,10.88,4.306824,137.5276,19.62946,60.92293,4.477109,8.1919,8.49758,11.0076,2.611519,15.38,4.25,0.869521,-20239.53
1,2011,15.96,4.53,47.2,,30,11.99,3.4964,139.1456,61.35608,50.24307,4.764308,28.7199,5.24131,11.0845,2.730946,14.93,6.5,0.864799,-20570.59
1,2012,18.69,7.05,39.04,,27,8.86,5.441418,130.1532,58.53275,58.57642,4.740575,-2.3733,5.45639,10.6839,4.250148,14.18,8.5,0.899338,-18185.4
1,2013,18.32,5.03,61.23,0.04,32,9.31,3.882316,121.4854,31.50754,37.85746,5.28963,54.9055,6.38611,10.2952,3.032375,13.88,7.9,0.909499,-16857.39
1,2014,22.3,4.22,59.22,0.39,31,11.06,3.257132,163.8501,31.00805,39.66157,5.334794,4.5164,7.41023,10.4409,2.54406,13.34,7.75,0.959928,-30266.52
1,2015,26.09,5.13,57.34,,31,6.65,3.9595,124.0019,29.77448,41.22348,5.417255,8.2461,7.99625,10.4283,3.092661,13,8,0.894212,-16810.38
1,2016,27.71,3.07,59.84,1.05,32,4.91,2.369525,131.0165,24.70598,36.90004,5.528158,11.0903,8.25631,10.3085,1.212198,12.8,6.75,0.901524,-18620.22
1,2017,28.32,3.48,56.19,4.2,32,4.95,2.685976,159.4595,26.26071,40.41282,5.491909,-3.6249,6.79538,10.7672,1.374088,12.53,6.25,0.797634,-27171.83
1,2018,26.39,4.17,55.03,,31,3.33,3.218541,145.0797,23.78467,41.98402,5.359883,-13.2026,6.53299,10.7885,1.646537,12.2,6,0.76367,-22494.38
1,2019,28.05,4.28,59.19,,31,3.95,3.303442,136.8293,20.36445,38.91064,5.52242,16.2537,4.04155,11.228,1.689971,13.21,6.5,0.756966,-20165.25
1,2020,26.01,1.31,52.02,,31,3.72,1.0111,358.2645,27.04882,45.89253,5.315224,-20.7196,-7.96461,12.6008,0.5172573,17.6,5.25,0.754692,-137943.5
2,2005,40.47,-2.57,85.22,31.66,40,3.77,-1.134905,28.31654,4.605685,3.650717,7.57602,,7.92343,10.3661,-1.202796,13.69,6,0.743372,-11786.78
2,2006,7.61,0.35,66.54,0.28,38,4.25,0.1545591,7.24831,17.20681,10.99634,6.535706,-104.031,8.06073,9.80247,0.1638049,13.58,6.5,0.798724,-11303.82
2,2007,15.43,0.23,59.74,3.8,36,5.8,0.1015674,35.73414,25.65153,9.79915,6.675987,14.0281,7.66082,9.86212,0.1076432,14.29,7,0.705919,-12947.73
2,2008,6.74,3.96,71.76,-19,39,6.37,1.748726,15.05136,28.10647,18.5417,6.357322,-31.8665,3.0867,10.5385,1.853336,15.7,7,0.392722,-21120.58
2,2009,5.32,2.4,77.6,-5.36,40,8.35,1.059834,13.30998,20.94929,18.81026,6.485307,12.7985,7.86189,11.4597,1.123234,15.82,5,0.394684,-14477.85
2,2010,3.28,1.13,77.41,-0.32,41,10.88,0.499005,10.47589,22.56125,19.38115,6.515379,3.0072,8.49758,11.0076,0.5288559,15.38,4.25,0.505558,-17340.02
2,2011,3.51,1.12,59.52,-6.27,43,11.99,0.494589,11.0586,18.9972,14.65853,6.855556,34.0177,5.24131,11.0845,0.6752008,14.93,6.5,0.563315,-18313.13
2,2012,4.67,1.87,51.12,-4.43,47,8.86,0.8257871,7.398606,23.71498,25.35672,7.106147,25.0591,5.45639,10.6839,1.127344,14.18,8.5,0.506445,-14562.69
2,2013,6.65,1.4,43.01,-3.09,51,9.31,0.6182363,6.667336,31.74152,19.99072,7.401085,29.4938,6.38611,10.2952,0.844001,13.88,7.9,0.471608,-13940.68
2,2014,11.81,0.56,71.57,16.4,53,11.06,0.2472945,8.631148,48.70697,14.69193,7.740503,33.9418,7.41023,10.4409,0.3376004,13.34,7.75,0.442968,-12025.55
2,2015,13.85,0.57,73.95,4.3,69,6.65,0.2517105,8.433295,66.09237,13.23022,7.884791,14.4288,7.99625,10.4283,0.343629,13,8,0.601154,-12372.84
2,2016,21.6,0.67,77.37,,70,4.91,0.2958702,12.82813,74.13343,13.68985,7.898445,1.3654,8.25631,10.3085,0.2645515,12.8,6.75,0.573628,-12266.44
2,2017,26.54,0.54,81.65,,78,4.95,0.2384626,14.38249,66.49545,11.06517,8.15339,25.4945,6.79538,10.7672,0.2132206,12.53,6.25,0.395474,-11746.99
2,2018,19.57,0.6,67.93,1.35,88,3.33,0.2649584,12.46894,59.40542,11.7304,8.136773,-1.6617,6.53299,10.7885,0.2369118,12.2,6,0.407403,-13476
2,2019,5.7,-0.19,73.5,-9.68,80,3.95,-0.0839035,3.885745,54.25272,14.05388,7.941765,-19.5008,4.04155,11.228,-0.0750221,13.21,6.5,3.66601,-17190.48
2,2020,-5.78,-6.43,0,-13.43,30,3.72,-2.839471,-90.73784,,92.6023,5.79283,-214.893,-7.96461,12.6008,-2.538904,17.6,5.25,3.40981,-2242718
3,2005,639.88,1.33,90.29,40,18917,3.77,0.8988323,23.22318,46.85093,5.15595,10.71763,,7.92343,10.3661,0.6224588,13.69,6,0.392255,-13905.16
3,2006,482.45,1.42,87.72,76.8,19134,4.25,0.9596555,15.01117,52.7161,6.580574,10.92038,20.275,8.06073,9.80247,0.66458,13.58,6.5,0.51306,-13963.84
3,2007,376.4,1.26,88,90,20379,5.8,0.8515254,8.891976,61.02239,6.616291,11.12231,20.193,7.66082,9.86212,0.5896978,14.29,7,0.894119,-13389.47
3,2008,964.76,1.32,86.35,268.55,20079,6.37,0.8920742,16.13745,59.94801,6.295023,11.32586,20.355,3.0867,10.5385,0.6177787,15.7,7,0.403406,-10914.91
3,2009,1141.92,0.9,87.02,313.23,20457,8.35,0.6082324,16.06706,60.21809,5.992903,11.48912,16.326,7.86189,11.4597,0.4212127,15.82,5,0.550486,-10994.95
3,2010,1515.9,1.16,87.15,830.21,20959,10.88,0.783944,18.33616,58.83758,5.548886,11.70931,22.019,8.49758,11.0076,0.5428963,15.38,4.25,0.478625,-10583.32
3,2011,1370.41,1.11,87.18,800,21227,11.99,0.7501533,13.64026,61.88588,5.623369,11.92693,21.762,5.24131,11.0845,0.6691722,14.93,6.5,0.410305,-12204.63
3,2012,1298.68,1.02,87.24,1183.46,22334,8.86,0.68933,9.190571,60.75675,5.743371,12.11688,18.995,5.45639,10.6839,0.614915,14.18,8.5,0.465307,-12151.81
3,2013,1476.91,0.64,87.46,1481.22,22557,9.31,0.4325208,9.257012,63.35941,5.554799,12.2277,11.082,6.38611,10.2952,0.385829,13.88,7.9,0.366687,-12027.65
3,2014,2165.75,0.57,86.58,2030.81,24569,11.06,0.3852139,12.40706,62.60667,5.353401,12.30336,7.566,7.41023,10.4409,0.343629,13.34,7.75,0.335754,-11686.67
3,2015,1996.01,0.29,85.17,2004.29,24231,6.65,0.195986,11.0902,65.99699,5.567141,12.33313,2.977,7.99625,10.4283,0.1748288,13,8,0.346596,-12122.41
3,2016,1910.13,-0.33,83.66,5973.05,24137,4.91,-0.2230186,11.15707,63.53458,5.864284,12.38767,5.454,8.25631,10.3085,-0.1303015,12.8,6.75,0.364719,-12291.11
3,2017,2644.33,-0.13,85.16,4552.37,23944,4.95,-0.0878558,16.28269,63.59857,6.031272,12.37598,-1.169,6.79538,10.7672,-0.0513309,12.53,6.25,0.300253,-12089.68
3,2018,2692.56,-1.96,84.52,10326.5,23967,3.33,-1.324595,17.87363,60.171,4.06324,12.44001,6.403,6.53299,10.7885,-0.7739118,12.2,6,0.304366,-12110.29
3,2019,1700.2,-3.48,86.22,11761.1,23210,3.95,-2.351832,12.04065,57.21079,3.673053,12.4235,-1.651,4.04155,11.228,-1.374088,13.21,6.5,0.684199,-14407.8
3,2020,2456.69,-2.22,88.61,7468,23356,3.72,-1.500307,16.86926,55.41225,4.90801,12.46072,3.722,-7.96461,12.6008,-0.8765735,17.6,5.25,0.356957,-13790.28
4,2005,250.72,0.55,74.96,,1586,3.77,0.2007292,109.7387,49.08653,9.96991,8.013307,,7.92343,10.3661,0.2574078,13.69,6,0.631714,-25977.5
4,2006,303.55,1.45,61.83,,1773,4.25,0.5291952,115.9694,55.18446,10.90979,8.203919,19.0612,8.06073,9.80247,0.6786205,13.58,6.5,0.635652,-23255.53
4,2007,379.41,1.28,65.88,,1982,5.8,0.4671516,115.2696,39.39946,10.9579,8.304906,10.0987,7.66082,9.86212,0.599058,14.29,7,0.496724,-21003.27
4,2009,334.79,-7.92,27.11,5.61,857,8.35,-2.890501,890.6358,57.12172,39.53418,7.103955,-120.095,7.86189,11.4597,-3.706672,15.82,5,0.80074,-835606.4
